市町名,分類,当日有権者数_男,当日有権者数_女,当日有権者数_計,投票者数_男,投票者数_女,投票者数_計,棄権者数_男,棄権者数_女,棄権者数_計,投票率_男,投票率_女,投票率_計,前回投票率との差_男,前回投票率との差_女,前回投票率との差_計,確定時刻
宇都宮市,市部,211283,212615,423898,86950,90090,177040,124333,122525,246858,41.15,42.37,41.76,5.11,5.92,5.51,21:45
足利市,市部,61058,64501,125559,16614,16448,33062,44444,48053,92497,27.21,25.50,26.33,-0.70,-0.61,-0.65,21:19
栃木市,市部,66563,68725,135288,18487,18343,36830,48076,50382,98458,27.77,26.69,27.22,-2.18,-1.90,-2.04,20:47
佐野市,市部,49183,51077,100260,14081,14035,28116,35102,37042,72144,28.63,27.48,28.04,-1.68,-1.98,-1.84,21:02
鹿沼市,市部,40895,42348,83243,12229,12589,24818,28666,29759,58425,29.90,29.73,29.81,0.64,1.19,0.91,21:18
日光市,市部,35437,37617,73054,11891,12445,24336,23546,25172,48718,33.56,33.08,33.31,-0.34,-0.28,-0.31,20:49
小山市,市部,66758,66282,133040,16436,15985,32421,50322,50297,100619,24.62,24.12,24.37,-6.38,-6.43,-6.40,20:59
真岡市,市部,32345,31980,64325,10474,10299,20773,21871,21681,43552,32.38,32.20,32.29,-2.40,-3.18,-2.79,20:47
大田原市,市部,29692,30424,60116,9510,9374,18884,20182,21050,41232,32.03,30.81,31.41,-1.71,-2.47,-2.10,20:59
矢板市,市部,13852,14271,28123,4691,4751,9442,9161,9520,18681,33.87,33.29,33.57,-0.23,-1.07,-0.66,20:45
那須塩原市,市部,47653,48692,96345,14258,14493,28751,33395,34199,67594,2992,29.76,29.84,-10.75,-11.52,-11.14,21:04
さくら市,市部,18069,17978,36047,5976,5852,11828,12093,12126,24219,33.07,32.55,32.81,0.08,-0.60,-0.26,20:43
那須烏山市,市部,11783,11996,23779,4640,4711,9351,7143,7285,14428,39.38,39.27,39.32,-0.53,-0.55,-0.54,19:50
下野市,市部,24296,24893,49189,7729,7795,15524,16567,17098,33665,31.81,31.31,31.56,-2.10,-2.34,-2.22,20:39
上三川町,河内郡,12764,12461,25225,3964,3884,7848,8800,8577,17377,31.06,31.17,31.11,-1.42,-1.32,-1.38,21:14
益子町,芳賀郡,9943,10043,19986,3773,3820,7593,6170,6223,12393,37.95,38.04,37.99,2.22,1.66,1.94,20:51
茂木町,芳賀郡,5913,6074,11987,2801,2873,5674,3112,3201,6313,47.37,47.30,47.33,-0.65,-1.72,-1.20,19:05
市貝町,芳賀郡,5112,4914,10026,2037,1961,3998,3075,2953,6028,39.85,39.91,39.88,1.46,2.07,1.76,20:34
芳賀町,芳賀郡,6591,6600,13191,2715,2693,5408,3876,3907,7783,41.19,40.80,41.00,3.24,3.15,3.20,20:41
壬生町,下都賀郡,16086,16744,32830,5589,5580,11169,10497,11164,21661,34.74,33.33,34.02,-0.29,-0.05,-0.17,20:39
野木町,下都賀郡,10782,10943,21725,3067,2892,5959,7715,8051,15766,28.45,26.43,27.43,-3.00,-3.08,-3.04,20:59
塩谷町,塩谷郡,5035,5229,10264,2073,2114,4187,2962,3115,6077,41.17,40.43,40.79,6.35,7.35,6.86,20:50
高根沢町,塩谷郡,12783,11806,24589,4168,4009,8177,8615,7797,16412,32.61,33.96,33.25,-1.36,-1.58,-1.48,20:55
那須町,那須郡,11048,11377,22425,4125,4109,8234,6923,7268,14191,37.34,36.12,36.72,-4.17,-3.59,-3.88,20:37
那珂川町,那須郡,7625,7482,15107,3065,2992,6057,4560,4490,9050,40.20,39.99,40.09,-0.81,-0.35,-0.59,19:54